,Survived,Pclass,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Sex_female,Sex_male
192,1,2,3.0,1,1,26.0,0,1
83,1,2,17.0,0,0,10.5,1,0
79,0,3,22.0,0,0,9.0,0,1
476,1,3,2.0,0,1,12.2875,1,0
380,0,3,32.0,0,0,7.925,0,1
253,0,3,41.0,0,2,20.2125,1,0
112,0,3,20.0,1,0,9.825,1,0
441,1,3,29.0,0,0,8.1125,0,1
873,0,3,19.0,0,0,7.8958,0,1
64,1,3,7.0,1,1,15.2458,0,1
716,1,2,6.0,0,1,33.0,1,0
624,1,1,21.0,0,0,77.9583,1,0
69,0,2,32.0,0,0,10.5,0,1
866,0,3,26.0,0,0,7.8958,0,1
323,1,1,36.0,0,0,135.6333,1,0
244,0,1,44.0,2,0,90.0,0,1
791,0,2,39.0,0,0,13.0,0,1
604,1,1,27.0,0,0,30.5,0,1
542,0,1,64.0,0,0,26.0,0,1
828,0,3,30.0,0,0,7.2292,0,1
800,1,3,27.0,0,0,6.975,0,1
188,0,3,36.0,0,0,7.8958,0,1
746,1,2,4.0,1,1,23.0,1,0
271,0,1,37.0,0,1,29.7,0,1
404,0,3,51.0,0,0,7.75,0,1
337,0,1,45.0,0,0,35.5,0,1
571,0,3,16.0,0,0,8.05,0,1
395,0,2,46.0,0,0,26.0,0,1
163,0,3,1.0,4,1,39.6875,0,1
846,0,3,4.0,4,2,31.275,0,1
108,1,3,28.0,1,0,24.15,1,0
827,1,2,0.83,1,1,18.75,0,1
310,0,2,26.0,1,1,26.0,1,0
110,0,3,14.5,1,0,14.4542,1,0
637,0,3,20.0,0,0,7.8542,0,1
816,1,1,52.0,1,1,93.5,1,0
601,1,1,35.0,0,0,26.55,0,1
685,0,3,18.0,0,0,7.7958,0,1
39,1,3,14.0,1,0,11.2417,1,0
506,1,3,26.0,0,0,56.4958,0,1
10,1,3,4.0,1,1,16.7,1,0
27,0,1,19.0,3,2,263.0,0,1
174,0,3,18.0,1,1,7.8542,0,1
181,0,3,9.0,4,2,31.3875,0,1
148,0,2,42.0,0,0,13.0,0,1
258,1,2,50.0,0,1,26.0,1,0
562,0,3,24.0,2,0,24.15,0,1
308,1,1,24.0,0,0,83.1583,1,0
678,1,1,27.0,0,0,76.7292,0,1
661,1,3,20.0,1,0,7.925,0,1
551,1,3,22.0,0,0,7.775,1,0
638,1,1,24.0,0,0,69.3,1,0
870,1,2,28.0,1,0,24.0,1,0
232,1,3,5.0,4,2,31.3875,1,0
537,1,1,36.0,0,2,71.0,1,0
482,0,3,8.0,3,1,25.4667,1,0
877,0,3,33.0,0,0,7.8958,0,1
81,1,3,31.0,0,0,7.7875,1,0
738,1,1,21.0,2,2,262.375,1,0
798,1,1,11.0,1,2,120.0,0,1
844,0,2,28.0,0,1,33.0,0,1
336,1,3,45.0,0,0,8.05,0,1
329,0,1,45.5,0,0,28.5,0,1
209,0,3,24.0,0,0,7.05,0,1
114,0,3,21.0,0,0,7.925,0,1
122,1,2,32.5,0,0,13.0,1,0
222,0,3,22.0,0,0,7.8958,0,1
728,0,2,41.0,0,0,0.0,0,1
672,0,3,18.0,0,0,7.775,0,1
219,1,3,16.0,0,0,8.05,0,1
501,1,1,16.0,0,0,86.5,1,0
830,0,3,18.0,0,0,8.3,0,1
885,1,1,26.0,0,0,30.0,0,1
632,1,2,28.0,0,0,13.0,1,0
67,1,3,17.0,4,2,7.925,1,0
422,0,3,54.0,0,0,7.25,0,1
34,0,1,28.0,1,0,82.1708,0,1
768,0,2,57.0,0,0,10.5,1,0
58,0,3,11.0,5,2,46.9,0,1
480,1,3,63.0,0,0,9.5875,1,0
730,0,2,23.0,0,0,13.0,0,1
683,0,3,14.0,4,1,39.6875,0,1
379,1,3,1.0,0,2,15.7417,1,0
575,0,3,18.0,1,0,14.4583,1,0
593,1,2,31.0,0,0,33.0,1,0
855,0,3,30.0,0,0,7.2292,0,1
829,0,3,23.0,0,0,7.8542,0,1
91,0,1,46.0,1,0,61.175,0,1
241,0,2,29.0,0,0,10.5,0,1
842,0,3,18.0,8,2,69.55,0,1
679,0,3,20.0,0,0,9.225,0,1
350,0,3,15.0,1,1,7.2292,0,1
59,0,3,22.0,0,0,7.2292,0,1
839,0,3,34.5,0,0,6.4375,0,1
589,0,3,47.0,0,0,7.25,0,1
657,1,1,50.0,2,0,133.65,0,1
88,0,3,24.0,0,0,8.05,0,1
269,1,3,25.0,0,0,0.0,0,1
491,0,3,21.0,0,0,8.05,0,1
745,0,3,31.0,0,0,7.75,0,1
516,0,3,32.0,0,0,7.8958,0,1
36,1,3,18.0,0,0,7.2292,0,1
673,0,3,24.5,0,0,8.05,0,1
882,0,2,27.0,0,0,13.0,0,1
700,0,3,25.0,0,0,7.7417,0,1
318,0,3,22.0,0,0,7.25,0,1
513,1,2,34.0,0,0,10.5,1,0
370,0,3,19.0,0,0,8.05,0,1
328,1,3,28.0,2,0,23.25,1,0
754,0,3,34.0,0,0,8.05,0,1
608,0,3,21.0,0,0,7.05,0,1
783,0,3,8.0,4,1,29.125,0,1
354,1,1,22.0,0,1,55.0,1,0
23,1,1,28.0,0,0,35.5,0,1
649,0,3,21.0,0,0,8.4333,0,1
104,0,3,28.0,0,0,7.8958,0,1
519,0,3,35.0,0,0,7.225,0,1
313,1,3,26.0,0,0,7.8542,1,0
766,0,3,24.0,0,0,9.5,0,1
425,0,3,28.0,0,0,7.75,0,1
727,0,3,11.0,0,0,18.7875,0,1
301,1,2,46.0,0,0,12.35,1,0
788,0,3,21.0,8,2,69.55,1,0
353,0,3,28.0,0,0,9.5,0,1
409,0,3,27.0,0,0,6.8583,0,1
182,1,2,1.0,2,1,39.0,0,1
699,0,3,18.0,0,1,14.4542,1,0
120,0,3,19.0,0,0,8.05,0,1
362,0,3,27.0,1,0,15.5,0,1
759,1,1,36.0,1,2,120.0,1,0
468,0,3,38.0,0,0,8.6625,0,1
282,0,1,57.0,0,0,26.0,0,1
763,0,3,30.5,0,0,7.75,1,0
68,0,3,26.0,2,0,8.6625,0,1
132,1,2,29.0,1,0,26.0,1,0
497,0,3,17.0,0,0,8.6625,0,1
312,0,2,43.0,1,1,26.25,0,1
707,1,1,24.0,0,0,49.5042,1,0
836,0,3,20.0,0,0,7.925,0,1
790,0,3,25.0,0,0,7.8958,0,1
15,1,2,55.0,0,0,16.0,1,0
340,0,2,28.0,0,0,13.0,0,1
843,0,3,35.0,0,0,7.8958,0,1
884,0,3,7.0,1,2,23.45,1,0
419,0,3,29.0,0,0,7.875,0,1
764,0,3,28.0,1,0,24.15,0,1
30,0,1,40.0,0,0,27.7208,0,1
720,1,1,27.0,1,0,53.1,0,1
225,1,2,19.0,0,0,10.5,0,1
744,0,1,19.0,1,0,53.1,0,1
736,1,1,45.0,0,0,30.0,0,1
0,0,3,22.0,1,0,7.25,0,1
750,1,2,48.0,1,2,65.0,1,0
374,1,3,22.0,0,0,7.25,1,0
695,0,1,49.0,1,1,110.8833,0,1
723,1,3,28.0,0,0,7.7375,1,0
160,1,2,40.0,0,0,15.75,1,0
556,1,3,36.0,1,0,17.4,1,0
267,1,1,35.0,0,0,135.6333,1,0
597,1,2,24.0,2,1,27.0,1,0
139,0,3,40.0,0,2,15.2458,1,0
433,0,3,21.0,2,2,34.375,1,0
453,0,1,65.0,0,0,26.55,0,1
466,1,3,0.75,2,1,19.2583,1,0
437,1,2,45.0,1,1,26.25,1,0
126,1,3,24.0,0,0,7.1417,0,1
109,0,1,47.0,0,0,52.0,0,1
283,0,3,33.0,0,0,8.6625,0,1
106,1,3,29.0,0,0,7.775,0,1
774,0,3,22.0,0,0,7.7375,0,1
819,1,3,27.0,0,1,12.475,1,0
207,1,3,16.0,0,0,7.75,1,0
65,1,2,29.0,0,0,10.5,1,0
51,1,1,49.0,1,0,76.7292,1,0
714,1,2,27.0,0,0,10.5,1,0
680,0,3,14.0,5,2,46.9,0,1
196,0,3,42.0,0,1,8.4042,0,1
266,1,1,58.0,0,1,153.4625,1,0
641,1,3,0.75,2,1,19.2583,1,0
97,1,2,34.0,0,1,23.0,1,0
128,0,3,45.0,0,0,6.975,0,1
520,1,1,44.0,0,1,57.9792,1,0
5,0,3,27.0,0,0,8.4583,0,1
416,0,2,30.0,0,0,13.0,0,1
215,1,3,27.0,0,0,7.925,1,0
629,1,1,32.0,0,0,30.5,0,1
585,0,3,22.0,0,0,8.05,0,1
566,1,3,32.0,0,0,7.8542,0,1
439,0,3,25.0,1,0,7.775,0,1
434,1,2,24.0,2,3,18.75,1,0
492,0,3,26.0,0,0,14.4583,0,1
46,1,3,27.0,0,0,7.75,1,0
487,0,3,19.0,1,0,19.9667,0,1
713,1,1,38.0,0,0,227.525,1,0
462,0,3,38.0,0,0,7.05,0,1
676,1,1,36.0,0,1,512.3292,0,1
757,0,3,41.0,0,0,7.125,0,1
121,0,2,32.5,1,0,30.0708,0,1
689,1,3,37.0,0,0,56.4958,0,1
698,1,1,35.0,0,0,26.2875,0,1
646,1,3,23.0,0,0,7.55,1,0
289,1,1,19.0,1,0,91.0792,1,0
469,1,2,33.0,1,2,27.75,1,0
41,0,2,27.0,1,0,21.0,1,0
874,0,3,23.0,0,0,7.8958,0,1
532,1,2,7.0,0,2,26.25,1,0
810,0,3,30.5,0,0,8.05,0,1
157,0,3,37.0,0,0,8.6625,0,1
539,0,3,11.0,4,2,31.275,1,0
281,1,3,19.0,0,0,8.05,0,1
742,0,3,16.0,1,1,20.25,0,1
452,1,3,29.0,0,0,7.8958,0,1
778,0,1,29.0,0,0,30.0,0,1
236,1,2,8.0,0,2,26.25,1,0
558,0,3,40.0,0,0,7.8958,0,1
311,0,3,28.0,0,0,7.8958,0,1
73,1,3,32.0,0,0,56.4958,0,1
402,0,3,20.0,0,0,8.6625,1,0
332,1,1,42.0,1,0,133.65,1,0
306,0,2,30.0,1,0,24.0,0,1
50,0,3,21.0,0,0,7.8,0,1
612,1,2,24.0,1,2,65.0,1,0
623,0,2,57.0,0,0,12.35,0,1
349,0,1,43.0,0,0,35.0,0,1
268,0,1,28.0,0,0,31.0,0,1
176,0,1,50.0,0,0,28.7125,1,0
276,0,3,7.0,4,1,29.125,0,1
665,0,3,43.0,0,0,8.05,0,1
74,0,3,25.0,0,0,7.65,0,1
399,0,3,26.0,0,0,8.05,0,1
622,0,1,61.0,0,0,32.3208,0,1
352,0,3,23.0,0,0,7.225,0,1
438,0,3,20.0,0,0,9.5,0,1
515,1,2,36.0,1,0,26.0,1,0
242,0,3,22.0,0,0,7.125,0,1
709,1,1,48.0,1,0,52.0,0,1
854,1,3,24.0,0,3,19.2583,1,0
655,0,2,23.0,0,0,13.0,0,1
758,1,3,20.0,0,0,7.2292,0,1
650,1,3,16.0,0,0,7.8292,1,0
107,0,3,38.0,0,0,7.8958,0,1
330,0,1,38.0,0,1,153.4625,0,1
862,1,2,27.0,1,0,13.8583,1,0
392,1,3,24.0,0,2,16.7,1,0
124,1,3,12.0,1,0,11.2417,0,1
368,1,1,25.0,1,0,55.4417,0,1
296,1,1,47.0,0,0,30.5,0,1
711,0,2,52.0,0,0,13.0,0,1
568,1,1,53.0,2,0,51.4792,1,0
483,1,1,35.0,1,0,90.0,1,0
398,1,3,39.0,0,0,7.925,0,1
579,0,2,54.0,0,0,26.0,0,1
168,0,3,28.0,0,0,56.4958,0,1
789,0,1,43.0,0,0,30.6958,0,1
509,1,1,36.0,0,0,26.2875,0,1
247,1,1,37.0,1,1,52.5542,0,1
787,0,2,16.0,0,0,26.0,0,1
881,0,3,39.0,0,5,29.125,1,0
70,0,3,16.0,5,2,46.9,1,0
475,0,3,22.0,0,0,7.5208,0,1
195,0,3,28.0,0,0,7.75,0,1
118,0,3,2.0,4,2,31.275,1,0
179,0,3,8.0,8,2,69.55,1,0
569,1,1,36.0,0,0,26.3875,0,1
769,0,3,29.0,0,0,7.225,0,1
635,0,3,41.0,0,5,39.6875,1,0
794,0,3,30.0,0,0,7.2292,0,1
704,1,1,42.0,0,0,26.2875,0,1
360,0,3,45.0,0,1,14.4542,1,0
396,0,2,23.0,0,0,10.5,0,1
387,1,2,17.0,0,0,12.0,1,0
145,1,3,27.0,0,0,7.7958,0,1
76,0,3,28.0,0,0,8.05,0,1
389,1,3,21.0,0,0,7.7958,0,1
587,0,3,35.0,0,0,7.125,0,1
334,0,1,29.0,1,0,66.6,0,1
35,0,1,42.0,1,0,52.0,0,1
203,1,3,18.0,0,0,8.05,0,1
582,1,1,18.0,0,2,79.65,1,0
63,0,1,64.0,0,0,27.7208,0,1
1,1,1,38.0,1,0,71.2833,1,0
421,0,3,18.0,1,1,20.2125,0,1
254,1,3,29.0,0,2,15.2458,1,0
781,0,3,25.0,0,0,7.25,0,1
643,0,3,19.0,0,0,7.8958,0,1
249,0,3,18.0,0,0,7.25,0,1
708,0,1,41.0,0,0,26.55,0,1
609,1,3,18.0,1,0,15.5,1,0
762,0,1,46.0,0,0,39.6,0,1
687,1,1,31.0,1,0,57.0,0,1
705,1,1,22.0,0,0,151.55,1,0
265,1,3,25.0,1,0,7.775,0,1
66,0,3,19.0,0,0,8.1583,0,1
485,0,3,30.0,0,0,8.05,0,1
338,1,2,2.0,1,1,26.0,0,1
205,0,3,32.0,1,0,15.85,0,1
134,0,2,23.0,0,0,15.0458,0,1
528,0,3,17.0,0,0,7.2292,0,1
443,1,2,13.0,0,1,19.5,1,0
807,0,3,39.0,0,0,24.15,0,1
461,0,3,34.0,0,0,8.05,0,1
471,0,3,22.0,0,0,9.8375,1,0
583,0,2,47.0,0,0,15.0,0,1
227,0,2,18.0,0,0,13.0,0,1
599,0,1,37.0,0,0,42.4,0,1
388,1,1,36.0,1,2,120.0,0,1
504,1,1,37.0,0,0,26.55,0,1
473,0,2,34.0,1,0,21.0,0,1
220,0,2,27.0,0,0,13.0,0,1
546,1,2,8.0,1,1,36.75,0,1
463,0,2,21.0,0,0,0.0,0,1
151,0,3,55.5,0,0,8.05,0,1
90,0,3,20.0,0,0,7.8542,0,1
7,0,3,2.0,3,1,21.075,0,1
217,1,1,32.0,0,0,76.2917,1,0
43,1,3,19.0,0,0,7.8792,1,0
489,0,1,55.0,0,0,30.5,0,1
865,1,3,4.0,1,1,11.1333,0,1
175,0,3,5.0,3,1,25.4667,0,1
616,0,2,26.0,0,0,10.5,0,1
376,0,3,20.0,0,0,4.0125,0,1
648,1,2,18.0,0,1,23.0,1,0
801,0,3,31.0,0,0,7.775,0,1
850,0,2,44.0,1,0,26.0,1,0
4,0,3,35.0,0,0,8.05,0,1
358,0,3,40.0,1,4,27.9,0,1
847,0,3,74.0,0,0,7.775,0,1
524,0,1,49.0,0,0,221.7792,0,1
719,0,2,50.0,0,0,13.0,0,1
773,1,3,5.0,0,0,12.475,1,0
567,1,2,62.0,0,0,10.5,0,1
455,1,2,50.0,0,0,10.5,1,0
814,0,3,43.0,0,0,6.45,0,1
552,0,1,62.0,0,0,26.55,0,1
797,1,2,31.0,1,1,26.25,1,0
605,1,2,22.0,1,2,41.5792,1,0
507,1,3,29.0,0,0,7.75,0,1
154,0,1,51.0,0,1,61.3792,0,1
808,0,2,35.0,0,0,10.5,0,1
645,0,3,21.0,0,0,7.55,0,1
77,1,2,0.83,0,2,29.0,0,1
550,1,3,22.0,0,0,7.225,0,1
658,0,3,40.0,0,0,7.225,0,1
98,0,2,34.0,1,0,26.0,0,1
577,1,2,25.0,1,1,30.0,1,0
170,0,3,4.0,4,1,29.125,0,1
432,1,1,14.0,1,2,120.0,1,0
706,1,3,4.0,1,1,15.2458,0,1
291,0,3,24.0,0,0,8.85,1,0
429,1,2,42.0,1,0,26.0,1,0
440,1,2,28.0,0,0,13.0,1,0
543,1,2,19.0,1,0,26.0,1,0
817,1,3,27.0,0,0,8.6625,0,1
625,0,3,26.0,0,0,7.8958,0,1
359,0,2,29.0,1,0,27.7208,0,1
863,0,1,31.0,0,0,50.4958,0,1
544,1,2,27.0,0,0,13.8625,0,1
869,0,3,47.0,0,0,9.0,0,1
373,1,1,25.0,1,0,82.1708,1,0
365,1,3,35.0,0,0,7.2292,1,0
270,1,2,41.0,0,1,19.5,1,0
690,0,3,25.0,0,0,7.225,0,1
472,0,1,40.0,0,0,52.0,0,1
75,0,3,23.0,0,0,7.8958,0,1
383,0,2,18.0,0,0,73.5,0,1
239,0,3,19.0,1,0,14.4542,1,0
848,0,3,9.0,1,1,15.2458,1,0
369,0,3,18.0,1,0,6.4958,0,1
117,0,1,24.0,0,1,247.5208,0,1
123,0,1,54.0,0,1,77.2875,0,1
213,0,3,22.0,1,0,7.75,0,1
272,1,3,33.0,0,0,7.75,1,0
351,0,3,25.0,1,0,17.8,0,1
444,1,1,34.0,0,0,26.55,0,1
169,0,1,61.0,0,0,33.5,0,1
512,0,1,47.0,0,0,34.0208,0,1
164,1,3,9.0,0,2,20.525,0,1
165,1,1,48.0,0,1,55.0,1,0
619,1,3,20.0,1,1,15.7417,0,1
430,0,3,17.0,0,0,7.125,0,1
342,0,2,36.0,0,0,13.0,0,1
371,0,1,22.0,0,0,135.6333,0,1
805,1,1,33.0,1,0,53.1,1,0
780,0,3,25.0,0,0,7.05,0,1
493,1,1,54.0,1,0,78.2667,1,0
16,0,3,2.0,4,1,29.125,0,1
189,1,2,32.0,0,0,13.0,1,0
570,1,3,22.0,0,0,7.75,1,0
55,1,2,21.0,0,0,10.5,1,0
366,1,3,22.0,0,0,7.75,1,0
405,1,2,3.0,1,1,18.75,0,1
263,0,2,36.0,0,0,10.5,0,1
431,0,1,50.0,1,0,55.9,0,1
656,0,1,58.0,0,2,113.275,0,1
26,0,3,26.0,0,0,7.225,0,1
57,1,2,5.0,1,2,27.75,1,0
17,1,2,23.0,0,0,13.0,0,1
630,0,1,30.0,0,0,0.0,0,1
724,0,2,25.0,1,0,26.0,0,1
634,0,2,31.0,1,1,26.25,0,1
264,0,3,16.0,4,1,39.6875,0,1
572,0,3,19.0,0,0,14.5,0,1
226,0,3,20.5,0,0,7.25,0,1
186,1,1,45.0,0,0,26.55,0,1
158,0,3,5.0,8,2,69.55,0,1
654,0,3,32.0,1,1,15.5,1,0
530,1,3,24.0,0,2,22.3583,1,0
857,0,2,21.0,1,0,11.5,0,1
12,0,3,20.0,0,0,8.05,0,1
28,1,3,24.0,0,0,7.8792,1,0
319,0,3,27.0,0,0,7.8958,0,1
11,1,1,58.0,0,0,26.55,1,0
849,1,1,16.0,0,1,39.4,1,0
199,0,3,28.0,0,0,9.5,0,1
755,1,1,33.0,0,0,86.5,1,0
216,0,2,42.0,1,0,27.0,0,1
277,1,3,35.0,1,1,20.25,1,0
479,0,3,50.0,0,0,8.05,0,1
224,0,3,22.0,0,0,9.35,0,1
259,1,3,3.0,4,2,31.3875,0,1
344,1,2,40.0,0,0,13.0,1,0
631,0,3,9.0,3,2,27.9,1,0
594,0,3,49.0,0,0,0.0,0,1
523,1,2,50.0,0,0,10.5,1,0
